Latitude,Longitude,Time,Id
32.7637,-96.94024,117,route 1,Along route
32.763110000000005,-96.94341000000001,118,route 1,Along route
32.76277,-96.94539,119,route 1,Along route
32.762570000000004,-96.94683,120,route 1,Along route
32.7624,-96.94841000000001,121,route 1,Along route
32.76232,-96.94956,122,route 1,Along route
32.762260000000005,-96.95076,123,route 1,Along route
32.762240000000006,-96.95188,124,route 1,Along route
32.762240000000006,-96.95485000000001,125,route 1,Along route
32.76223,-96.95703,126,route 1,Along route
32.762260000000005,-96.96033000000001,127,route 1,Along route
32.762280000000004,-96.96177,128,route 1,Along route
32.76225,-96.96263,129,route 1,Along route
32.76207,-96.96496,130,route 1,Along route
32.76194,-96.96567,131,route 1,Along route
32.761700000000005,-96.96678000000001,132,route 1,Along route
32.76149,-96.96758000000001,133,route 1,Along route
32.76117,-96.96855000000001,134,route 1,Along route
32.7609,-96.96939,135,route 1,Along route
32.760400000000004,-96.97102000000001,136,route 1,Along route
32.759980000000006,-96.97273000000001,137,route 1,Along route
32.75978,-96.97401,138,route 1,Along route
32.75965,-96.9749,139,route 1,Along route
32.759640000000005,-96.97514000000001,140,route 1,Along route
32.75949,-96.97805000000001,141,route 1,Along route
32.75939,-96.97941,142,route 1,Along route
32.75929,-96.98102,143,route 1,Along route
32.75889,-96.98788,144,route 1,Along route
32.75876,-96.9915,145,route 1,Along route
32.758720000000004,-96.99400000000001,146,route 1,Along route
32.75876,-96.99471000000001,147,route 1,Along route
32.758770000000005,-96.99486,148,route 1,Along route
32.75878,-96.99503000000001,149,route 1,Along route
32.758810000000004,-96.99543000000001,150,route 1,Along route
32.759260000000005,-97.00114,151,route 1,Along route
32.75941,-97.00377,152,route 1,Along route
32.75954,-97.00568000000001,153,route 1,Along route
32.75959,-97.00742000000001,154,route 1,Along route
32.75963,-97.01269,155,route 1,Along route
32.759640000000005,-97.02241000000001,156,route 1,Along route
32.759660000000004,-97.02828000000001,157,route 1,Along route
32.759660000000004,-97.02954000000001,158,route 1,Along route
32.759690000000006,-97.03025000000001,159,route 1,Along route
32.7597,-97.03084000000001,160,route 1,Along route
32.759690000000006,-97.03275000000001,161,route 1,Along route
32.7597,-97.03344000000001,162,route 1,Along route
32.759690000000006,-97.03524,163,route 1,Along route
32.75968,-97.03569,164,route 1,Along route
32.75967,-97.03844000000001,165,route 1,Along route
32.759690000000006,-97.04570000000001,166,route 1,Along route
32.75972,-97.04965000000001,167,route 1,Along route
